"part_id","age","ageRound","cueDum","cueContrast","blockNum","trialNum","tType","acc","reachRT","minDist","minPDist","szDummyAgg","Reach Type","Age","Condition","Trial Type"
1004,6.54,6,1,0.5,8,30,-0.5,1,0,1.388758,1,0,"No-go: Non-Reach","6 (n=27)","Cue Highlight","No-Go"
1004,6.54,6,1,0.5,8,31,-0.5,1,0,1.30592,1,0,"No-go: Non-Reach","6 (n=27)","Cue Highlight","No-Go"
1004,6.54,6,1,0.5,8,32,0.5,1,1185.58882158,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
1004,6.54,6,1,0.5,9,33,0.5,1,1262.95186754,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
1004,6.54,6,1,0.5,9,34,0.5,1,1184.71842332,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
1004,6.54,6,1,0.5,9,35,-0.5,1,0,1.30592,1,0,"No-go: Non-Reach","6 (n=27)","Cue Highlight","No-Go"
1004,6.54,6,1,0.5,9,36,0.5,1,1185.22700897,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
1006,4.06,4,1,0.5,1,1,0.5,1,1795.87738421,0,0,1,"Go: Accurate","4 (n=37)","Cue Highlight","Go"
1006,4.06,4,1,0.5,1,2,0.5,1,1557.79615159,0,0,1,"Go: Accurate","4 (n=37)","Cue Highlight","Go"
1006,4.06,4,1,0.5,1,3,0.5,1,1415.5946925,0,0,1,"Go: Accurate","4 (n=37)","Cue Highlight","Go"
1006,4.06,4,1,0.5,1,4,-0.5,1,0,1.354546,1,0,"No-go: Non-Reach","4 (n=37)","Cue Highlight","No-Go"
1006,4.06,4,1,0.5,2,5,0.5,1,1549.29583074,0,0,1,"Go: Accurate","4 (n=37)","Cue Highlight","Go"
1006,4.06,4,1,0.5,2,6,0.5,1,1310.94835864,0,0,1,"Go: Accurate","4 (n=37)","Cue Highlight","Go"
1006,4.06,4,1,0.5,2,7,0.5,1,1184.83732086,0,0,1,"Go: Accurate","4 (n=37)","Cue Highlight","Go"
1006,4.06,4,1,0.5,2,8,0.5,1,1182.54299654,0,0,1,"Go: Accurate","4 (n=37)","Cue Highlight","Go"
1006,4.06,4,1,0.5,3,9,-0.5,1,0,1.576785,1,0,"No-go: Non-Reach","4 (n=37)","Cue Highlight","No-Go"
1006,4.06,4,1,0.5,3,10,0.5,1,1186.93025891,0,0,1,"Go: Accurate","4 (n=37)","Cue Highlight","Go"
1006,4.06,4,1,0.5,3,11,-0.5,1,0,1.30592,1,0,"No-go: Non-Reach","4 (n=37)","Cue Highlight","No-Go"
1006,4.06,4,1,0.5,3,12,0.5,1,1209.84733328,0,0,1,"Go: Accurate","4 (n=37)","Cue Highlight","Go"
1006,4.06,4,1,0.5,4,13,0.5,1,2463.53998371,0,0,1,"Go: Accurate","4 (n=37)","Cue Highlight","Go"
1006,4.06,4,1,0.5,4,14,0.5,1,1972.86291626,0,0,1,"Go: Accurate","4 (n=37)","Cue Highlight","Go"
